hand,reach,CHECK@50.00,ALLIN@250.00,BET@75.00,BET@100.00
JHJS,0.981181,0.997818,0.000989,0.000511,0.000682
JDJS,0.981241,0.997818,0.000989,0.000511,0.000682
JCJS,0.981181,0.997818,0.000989,0.000511,0.000682
JDJH,0.981135,0.997818,0.000989,0.000511,0.000682
JCJH,0.981040,0.997818,0.000989,0.000511,0.000682
JCJD,0.981135,0.997818,0.000989,0.000511,0.000682
QHQS,0.995453,0.953262,0.004272,0.020930,0.021536
QCQS,0.995671,0.845075,0.004216,0.067904,0.082805
QCQH,0.995476,0.945969,0.004269,0.025995,0.023768
KDKH,0.997693,0.995138,0.001935,0.001384,0.001543
KCKH,0.997673,0.995133,0.001936,0.001386,0.001545
KCKD,0.997619,0.994833,0.001959,0.001586,0.001622
ADKD,0.995204,0.934883,0.004803,0.046499,0.013815
ACKC,0.995336,0.804549,0.011915,0.100079,0.083458
ADAS,0.998856,0.997696,0.000822,0.000614,0.000868
ACAS,0.998839,0.996320,0.001083,0.001226,0.001372
ACAD,0.998839,0.996757,0.000853,0.001110,0.001280
